Account,Category,Amount,from_date,to_date,account_line_type
Wages and Salaries,3 Kinnear Court Montmorency,2185.03,2024-01-01,2024-01-31,Other
Total Cost of Sales,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Income
Gross Profit,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Advertising,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Bank Fees,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Client Meetings,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Depreciation,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Filing fees,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Interest Expense,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Office Expenses,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Subscriptions,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,3 Kinnear Court Montmorency,0.0,2024-01-01,2024-01-31,Other
Sales,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Income
Contractors,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,365 Kangaroo Ground-Warrandyte North Warrandyte,-8446.04,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Superannuation,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Wages and Salaries,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Total Cost of Sales,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Income
Gross Profit,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Advertising,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Bank Fees,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Client Meetings,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Depreciation,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Filing fees,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Interest Expense,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Office Expenses,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Subscriptions,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-01-01,2024-01-31,Other
Sales,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Income
Contractors,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,4 Penrose Court MillPark,1271.82,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Superannuation,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Wages and Salaries,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Total Cost of Sales,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Income
Gross Profit,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Advertising,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Bank Fees,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Client Meetings,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Depreciation,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Filing fees,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Interest Expense,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Office Expenses,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Subscriptions,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,4 Penrose Court MillPark,0.0,2024-01-01,2024-01-31,Other
Sales,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Income
Contractors,44 Silver St Eltham,4020.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,44 Silver St Eltham,24665.5,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Superannuation,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Wages and Salaries,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Total Cost of Sales,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Income
Gross Profit,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Advertising,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Bank Fees,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Client Meetings,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Depreciation,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Filing fees,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Interest Expense,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Office Expenses,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Subscriptions,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,44 Silver St Eltham,0.0,2024-01-01,2024-01-31,Other
Sales,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Income
Contractors,6-8 Nokes Court,92513.8,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,6-8 Nokes Court,70881.7,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,6-8 Nokes Court,112.0,2024-01-01,2024-01-31,Other
Superannuation,6-8 Nokes Court,753.74,2024-01-01,2024-01-31,Other
Wages and Salaries,6-8 Nokes Court,6852.07,2024-01-01,2024-01-31,Other
Total Cost of Sales,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Income
Gross Profit,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Advertising,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Bank Fees,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Client Meetings,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Depreciation,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Filing fees,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Interest Expense,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Office Expenses,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Subscriptions,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,6-8 Nokes Court,0.0,2024-01-01,2024-01-31,Other
Sales,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Income
Contractors,7 Huntingfield Ct Eltham,23918.18,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,7 Huntingfield Ct Eltham,9302.13,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Superannuation,7 Huntingfield Ct Eltham,411.69,2024-01-01,2024-01-31,Other
Wages and Salaries,7 Huntingfield Ct Eltham,3742.64,2024-01-01,2024-01-31,Other
Total Cost of Sales,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Income
Gross Profit,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Advertising,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Bank Fees,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Client Meetings,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Depreciation,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Filing fees,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Interest Expense,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Office Expenses,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Subscriptions,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,7 Huntingfield Ct Eltham,0.0,2024-01-01,2024-01-31,Other
Sales,7 Mooltan Place Eltham,195725.08,2024-01-01,2024-01-31,Income
Total Trading Income,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Income
Contractors,7 Mooltan Place Eltham,39278.38,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,7 Mooltan Place Eltham,16262.13,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,7 Mooltan Place Eltham,240.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Superannuation,7 Mooltan Place Eltham,410.46,2024-01-01,2024-01-31,Other
Wages and Salaries,7 Mooltan Place Eltham,3731.51,2024-01-01,2024-01-31,Other
Total Cost of Sales,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Income
Gross Profit,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Advertising,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Bank Fees,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Client Meetings,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Depreciation,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Filing fees,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Interest Expense,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Office Expenses,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Subscriptions,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,7 Mooltan Place Eltham,0.0,2024-01-01,2024-01-31,Other
Sales,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Income
Contractors,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,7 Wilnua Court Briar Hill,1994.54,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Superannuation,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Wages and Salaries,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Total Cost of Sales,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Income
Gross Profit,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Advertising,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Bank Fees,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Client Meetings,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Consulting & Accounting,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Depreciation,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Filing fees,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Interest Expense,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Motor Vehicle Expenses,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Office Expenses,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Protective Clothing,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Staff Amenities,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Subscriptions,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Telephone & Internet,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Total Operating Expenses,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Operating Expenses
Net Profit,7 Wilnua Court Briar Hill,0.0,2024-01-01,2024-01-31,Other
Sales,85 Starling Road Diamond Creek Stage 2,0.0,2024-01-01,2024-01-31,Income
Total Trading Income,85 Starling Road Diamond Creek Stage 2,0.0,2024-01-01,2024-01-31,Income
Contractors,85 Starling Road Diamond Creek Stage 2,2700.0,2024-01-01,2024-01-31,Cost of Sales
Cost of Goods Sold,85 Starling Road Diamond Creek Stage 2,68772.24,2024-01-01,2024-01-31,Cost of Sales
Hire of Equipment/Tools,85 Starling Road Diamond Creek Stage 2,320.0,2024-01-01,2024-01-31,Cost of Sales
License & Permits,85 Starling Road Diamond Creek Stage 2,0.0,2024-01-01,2024-01-31,Other
Superannuation,85 Starling Road Diamond Creek Stage 2,945.32,2024-01-01,2024-01-31,Other
Wages and Salaries,85 Starling Road Diamond Creek Stage 2,8593.9,2024-01-01,2024-01-31,Other
Total Cost of Sales,85 Starling Road Diamond Creek Stage 2,0.0,2024-01-01,2024-01-31,Income
Gross Profit,85 Starling Road Diamond Creek Stage 2,0.0,2024-01-01,2024-01-31,Other
Advertising,85 Starling Road Diamond Creek Stage 2,0.0,2024-01-01,2024-01-31,Other
Bank Fees,85 Starling Road Diamond Creek Stage 2,0.0,2024-01-01,2024-01-31,Other
